"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"67","RT @ahilia_stee: watched #nezha with my friend last night &lt;3
SOOO GOOOD!!! everyone please go watch it if it's in a theatre near you TT
als…",FALSE,0,NA,2019-09-09 12:08:53,FALSE,NA,"1171032726981337088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","starxSH",166,TRUE,FALSE,NA,NA
"68","@wenbuxing The movie is a work of art...and also nezha movie said bi rights and im loving it!!! Milfs and dilfs!!!",FALSE,0,"wenbuxing",2019-09-09 12:08:46,FALSE,"1171032375880376321","1171032699190034434","1123630681781751809","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","comomula",0,FALSE,FALSE,NA,NA
"69","RT @AWDEKO: nezha’s hands will just have to take turns holding aobing’s hands 
#<U+54EA><U+5412><U+4E4B><U+9B54><U+7AE5><U+964D><U+4E16> https://t.co/rkH3hosh4a",FALSE,0,NA,2019-09-09 12:08:42,FALSE,NA,"1171032681821294592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FernChan18",847,TRUE,FALSE,NA,NA
"70","RT @beemyloverfu: #<U+54EA><U+5412><U+4E4B><U+9B54><U+7AE5><U+964D><U+4E16> 
#nezha https://t.co/DeVz6nE3AT",FALSE,0,NA,2019-09-09 12:08:32,FALSE,NA,"1171032637298937856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miIobellus",869,TRUE,FALSE,NA,NA
"71","@comomula THE ANIMATION IN NEZHA IS SOOOO GOOD THE FLUIDITY, THE SCENERY AND THE CHARACTER DESIGNS WERE ALL SOLID (… https://t.co/jY71pOGCly",FALSE,0,"comomula",2019-09-09 12:07:29,TRUE,"1171031994035298305","1171032375880376321","3331964601","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wenbuxing",0,FALSE,FALSE,NA,NA
"72","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:07:28,FALSE,NA,"1171032370431983618",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oubings",57,TRUE,FALSE,NA,NA
"73","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:07:24,FALSE,NA,"1171032353428430848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KurinaKureina",57,TRUE,FALSE,NA,NA
"74","RT @kiwimemer: late matchy ao bing for my nezha doodle https://t.co/Cr7YZbH2dl",FALSE,0,NA,2019-09-09 12:07:06,FALSE,NA,"1171032278723694593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wifixian",57,TRUE,FALSE,NA,NA
"75","RT @owlsintophats: the perks of having a best friend with 6 arms
#nezha https://t.co/UODNU6vF96",FALSE,0,NA,2019-09-09 12:06:33,FALSE,NA,"1171032139607027713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","merininx",331,TRUE,FALSE,NA,NA
"76","RT @ahilia_stee: watched #nezha with my friend last night &lt;3
SOOO GOOOD!!! everyone please go watch it if it's in a theatre near you TT
als…",FALSE,0,NA,2019-09-09 12:06:33,FALSE,NA,"1171032139275673600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shiroyasha1996",166,TRUE,FALSE,NA,NA
