TIME,OWNED,SEX,EDLVL,AGE,Playfulness,ValueUtility,FeelDeviceDependence,ATUseSophistication,FeelTimeManagingDevice,UseSelfEfficacy,NonPlayfulness,ValueHedonistic,VU,VH
30,24,1,5,33,1.1404354789,-0.637217702,-0.571866863,0.2669031465,-2.216686798,-0.925145871,0.2185294615,-0.180259381,0,
15,5,1,5,35,-0.041125656,0.6953735638,-0.383393587,-1.736249212,-2.711825655,-0.249331496,-0.357678686,-0.358669192,1,0
60,6,2,5,30,0.2029131073,-0.661747149,-0.315383209,1.1995898477,0.6299326828,-0.198523439,-0.303502006,0.3830734218,0,1
120,2,2,6,47,0.2609753061,0.4309013282,1.2377786889,-0.161028643,0.391035446,-0.317095463,0.2707363164,1.641806526,1,1
60,24,1,5,35,-0.128450868,-0.984427099,0.8570144145,1.1305011916,-0.646291644,0.0485540152,0.5137448577,-0.029814355,0,
180,132,1,5,36,0.8812326166,-0.119943483,-1.635648544,0.3272151571,0.2424677958,-0.196325936,-0.222523584,0.0695935799,,
10,72,1,6,44,0.0915611757,0.2519328042,0.501882069,-0.558975169,0.6087617087,0.9750033213,-0.333369413,0.226129756,1,
10,60,1,4,52,-1.17559141,-0.743175992,0.4298408558,0.6923228437,1.5483591008,0.4248181951,-0.192683932,-0.90966294,0,0
180,84,1,5,27,-0.854082802,-0.256914546,-0.589710139,-0.897861092,-0.681182287,-0.134991191,1.0626599599,-0.867366375,0,0
70,110,2,5,24,0.3359447571,0.5972062851,-0.61692503,-0.367318611,-0.442759731,-0.00613784,-0.370742128,-0.305134092,1,0
60,48,1,6,28,0.298941846,-0.140587219,1.2480302041,0.7375064536,0.6335152496,-0.773719011,-1.617629058,1.7511372605,,1
66,32,1,5,24,-0.315106092,0.069657213,-1.056170288,-0.229298467,-1.005526028,0.2045212724,-0.874493237,-0.352059972,,0
20,54,2,6,26,-0.197068242,-0.667306683,1.5432441485,0.0984301868,1.0915694206,-0.426166424,-0.330281368,0.4692553885,0,1
120,50,1,5,23,-1.101465442,-0.85471509,-1.170957622,-0.766015983,1.3248107012,-0.468317349,0.9270980975,-0.472842189,0,0
120,48,2,6,22,-0.675361685,-0.458858218,-0.841636318,-0.44852129,-0.929709343,1.6405331577,-0.380941348,-1.06377062,0,0
60,108,1,6,24,-0.506722654,-0.338214853,-0.957928884,0.7885152587,0.6657292417,0.230226004,0.7273544778,0.5357259262,0,1
360,72,2,6,24,0.1313056749,-0.367766814,-0.340125936,-1.225764468,-0.734451593,-0.585187344,-0.445071596,-0.289006485,0,0
120,77,2,5,25,-1.769731451,-0.724081134,-0.915580735,-1.404038928,0.1243716019,-0.221999537,1.7069405643,-0.761433406,0,0
60,48,1,5,34,2.401991791,0.889572361,-0.896669331,0.1105540096,-0.245525645,-0.11696616,0.0443865916,-0.596731858,1,0
200,60,2,1,39,-0.677127604,0.1834111849,-0.771736598,1.9573210754,0.1906040006,0.3954701855,-0.216804611,-0.651882707,,0
75,24,1,5,31,-1.008242085,1.1853160962,-1.107341661,1.5257662463,-1.423546513,0.2600406945,1.8735227122,0.9815309722,1,1
120,6,1,1,16,0.0274507106,1.855380185,-0.451426901,1.726189702,-1.207365916,0.5643735449,-0.693021312,0.0683835103,1,
60,60,2,5,35,-0.856465867,0.5087249677,0.0041571637,0.2095256794,-0.695567611,1.3682217687,0.8708183838,0.0903998702,1,
20,60,1,5,33,0.2348040919,1.626280033,-1.090280168,1.6968577627,-0.985323905,1.1660527484,1.892424183,0.4353116879,1,1
100,24,1,5,45,0.2093388245,0.4138128851,-0.373390687,1.0715568134,-1.108859175,1.436563536,-1.641236939,-0.282242817,1,0
90,36,1,5,32,-0.15555062,2.4501652078,-0.449556832,1.2726634644,-2.490798334,0.9661090979,0.010348981,-0.652066178,1,0
60,38,2,5,30,-0.470972228,0.2698310209,0.9539132797,0.3256999225,-0.592386933,2.4945610767,0.5389223838,-0.865407889,1,0
5,36,1,1,55,2.943242748,0.5376053874,-1.242627202,1.5634703986,-2.087935469,0.2287987405,0.8322968736,-0.234962733,1,
60,4,1,6,31,-0.22567827,1.3145455968,0.8092929678,0.5139273828,-0.975946978,-0.305677961,-0.110888508,0.1165834931,1,
180,10,2,6,44,0.5977208298,0.1154019008,-0.38161948,-1.100738129,-0.188784152,0.6330202443,-0.276108394,1.0032995715,,1
180,5,1,5,55,-0.307094481,1.4407450567,-0.037753321,0.9636787835,-0.468746302,1.7440771201,0.6609028382,0.8800129583,1,1
120,10,2,5,39,-0.863263148,1.8615042712,0.06762336,-1.100456053,-1.417715836,0.0232843801,0.464252291,0.1143299496,1,
60,3,1,6,28,-0.236245044,-0.419740072,1.6293106171,0.6683778564,1.2194737433,0.4821987518,0.1363617585,-0.125850239,0,
60,7,1,6,31,1.0069601889,1.5017638934,-1.420796081,0.7468587444,0.7658698571,-0.231059398,-0.522261452,-1.047636966,1,0
