"Country" "Democracy" "ID" "Decade" "Risk" "Time"
"Latvia" 1 47 "Y4" 0.0010024 4
"Latvia" 1 47 "Y5" 0.0008041 5
"Lithuania" 1 48 "Y3" 0.007929 3
"Lithuania" 1 48 "Y4" 0.0011517 4
"Lithuania" 1 48 "Y5" 0.0007509 5
"Ukraine" 1 49 "Y3" 0.0090544 3
"Ukraine" 1 49 "Y4" 0.0014727 4
"Ukraine" 1 49 "Y5" 0.0037225 5
"Belarus" 0 50 "Y3" 0.0055018 3
"Belarus" 0 50 "Y4" 0.0023301 4
"Belarus" 0 50 "Y5" 0.0018186 5
"Armenia" 0 51 "Y3" 0.0211825 3
"Armenia" 0 51 "Y4" 0.0014492 4
"Armenia" 0 51 "Y5" 0.0012923 5
"Azerbaijan" 0 52 "Y3" 0.0303783 3
"Azerbaijan" 0 52 "Y4" 0.0033951 4
"Azerbaijan" 0 52 "Y5" 0.0018125 5
"Finland" 1 53 "Y1" 0.0013066 1
"Finland" 1 53 "Y2" 0.0011309 2
"Finland" 1 53 "Y3" 0.0026328 3
"Finland" 1 53 "Y4" 0.000869 4
"Finland" 1 53 "Y5" 0.0010356 5
"Sweden" 1 54 "Y1" 0.000772 1
"Sweden" 1 54 "Y2" 0.0011572 2
"Sweden" 1 54 "Y3" 0.0024923 3
"Sweden" 1 54 "Y4" 0.0005211 4
"Sweden" 1 54 "Y5" 0.0006921 5
"Norway" 1 55 "Y1" 0.0009715 1
"Norway" 1 55 "Y2" 0.0014691 2
"Norway" 1 55 "Y3" 0.0021007 3
"Norway" 1 55 "Y4" 0.0005285 4
"Norway" 1 55 "Y5" 0.000619 5
"Denmark" 1 56 "Y1" 0.0017152 1
"Denmark" 1 56 "Y2" 0.0010519 2
"Denmark" 1 56 "Y3" 0.0017927 3
"Denmark" 1 56 "Y4" 0.0004376 4
"Denmark" 1 56 "Y5" 0.0007137 5
"Iceland" 1 57 "Y1" 0.0006811 1
"Iceland" 1 57 "Y2" 0.0010937 2
"Iceland" 1 57 "Y3" 0.0016199 3
"Iceland" 1 57 "Y4" 0.0003795 4
"Iceland" 1 57 "Y5" 0.0003504 5
"Guinea Bissau" 0 58 "Y1" 0.0049593 1
"Guinea Bissau" 0 58 "Y2" 0.0288443 2
"Guinea Bissau" 0 58 "Y3" 0.0492148 3
"Guinea Bissau" 0 58 "Y4" 0.0498459 4
"Guinea Bissau" 0 58 "Y5" 0.0424455 5
"Equatorial Guinea" 0 59 "Y1" 0.0135825 1
"Equatorial Guinea" 0 59 "Y2" 0.0102259 2
"Equatorial Guinea" 0 59 "Y3" 0.0061256 3
"Equatorial Guinea" 0 59 "Y4" 0.0048916 4
"Equatorial Guinea" 0 59 "Y5" 0.003538 5
"Gambia" 0 60 "Y1" 0.0039626 1
"Gambia" 0 60 "Y2" 0.0107892 2
"Gambia" 0 60 "Y3" 0.019942 3
"Gambia" 0 60 "Y4" 0.0080062 4
"Gambia" 0 60 "Y5" 0.0045796 5
"Mauritania" 0 61 "Y1" 0.0163708 1
"Mauritania" 0 61 "Y2" 0.0281467 2
"Mauritania" 0 61 "Y3" 0.0228294 3
"Mauritania" 0 61 "Y4" 0.0272975 4
"Mauritania" 0 61 "Y5" 0.0140157 5
"Ivory Coast" 0 62 "Y1" 0.0089471 1
"Ivory Coast" 0 62 "Y2" 0.0107346 2
"Ivory Coast" 0 62 "Y3" 0.0080713 3
"Ivory Coast" 0 62 "Y4" 0.0311551 4
"Ivory Coast" 0 62 "Y5" 0.0065768 5
"Guinea" 0 63 "Y1" 0.0047137 1
"Guinea" 0 63 "Y2" 0.0193115 2
"Guinea" 0 63 "Y3" 0.0159809 3
"Guinea" 0 63 "Y4" 0.0275389 4
"Guinea" 0 63 "Y5" 0.0153034 5
"Burkina Faso" 0 64 "Y1" 0.0178781 1
"Burkina Faso" 0 64 "Y2" 0.0485339 2
"Burkina Faso" 0 64 "Y3" 0.021067 3
"Burkina Faso" 0 64 "Y4" 0.004375 4
"Burkina Faso" 0 64 "Y5" 0.0375512 5
"Togo" 0 65 "Y1" 0.0198493 1
"Togo" 0 65 "Y2" 0.0082016 2
"Togo" 0 65 "Y3" 0.0494723 3
"Togo" 0 65 "Y4" 0.0103544 4
"Togo" 0 65 "Y5" 0.0054619 5
"Cameroon" 0 66 "Y1" 0.00773 1
"Cameroon" 0 66 "Y2" 0.0148668 2
"Cameroon" 0 66 "Y3" 0.0089379 3
"Cameroon" 0 66 "Y4" 0.0044028 4
"Cameroon" 0 66 "Y5" 0.0036588 5
"Gabon" 0 67 "Y1" 0.0104493 1
"Gabon" 0 67 "Y2" 0.0068775 2
"Gabon" 0 67 "Y3" 0.0085272 3
"Gabon" 0 67 "Y4" 0.0030902 4
"Gabon" 0 67 "Y5" 0.0017893 5
"Cen African Rep" 0 68 "Y1" 0.0430823 1
"Cen African Rep" 0 68 "Y2" 0.0287555 2
"Cen African Rep" 0 68 "Y3" 0.0308921 3
"Cen African Rep" 0 68 "Y4" 0.0173191 4
"Cen African Rep" 0 68 "Y5" 0.0250939 5
"Chad" 0 69 "Y1" 0.1069962 1
"Chad" 0 69 "Y2" 0.0534465 2
"Chad" 0 69 "Y3" 0.0162758 3
"Chad" 0 69 "Y4" 0.0103664 4
"Chad" 0 69 "Y5" 0.0058728 5
"Congo-Brz" 0 70 "Y1" 0.0265728 1
"Congo-Brz" 0 70 "Y2" 0.0074424 2
"Congo-Brz" 0 70 "Y3" 0.0228528 3
"Congo-Brz" 0 70 "Y4" 0.0076155 4
"Congo-Brz" 0 70 "Y5" 0.0067241 5
"Congo/Zaire" 0 71 "Y1" 0.0094041 1
"Congo/Zaire" 0 71 "Y2" 0.0159798 2
"Congo/Zaire" 0 71 "Y3" 0.0210559 3
"Congo/Zaire" 0 71 "Y4" 0.0088717 4
"Congo/Zaire" 0 71 "Y5" 0.006084 5
"Uganda" 0 72 "Y1" 0.0192806 1
"Uganda" 0 72 "Y2" 0.0807021 2
"Uganda" 0 72 "Y3" 0.0184776 3
"Uganda" 0 72 "Y4" 0.0059186 4
"Uganda" 0 72 "Y5" 0.0037981 5
"Tanzania" 0 73 "Y1" 0.0074601 1
"Tanzania" 0 73 "Y2" 0.0048956 2
"Tanzania" 0 73 "Y3" 0.005739 3
"Tanzania" 0 73 "Y4" 0.0037381 4
"Tanzania" 0 73 "Y5" 0.0016853 5
"Rwanda" 0 74 "Y1" 0.0194099 1
"Rwanda" 0 74 "Y2" 0.0165367 2
"Rwanda" 0 74 "Y3" 0.0503118 3
"Rwanda" 0 74 "Y4" 0.0076399 4
"Rwanda" 0 74 "Y5" 0.0040659 5
"Somalia" 0 75 "Y1" 0.0187919 1
"Somalia" 0 75 "Y2" 0.0324324 2
"Somalia" 0 75 "Y3" 0.004995 3
"Somalia" 0 75 "Y5" 0.0242659 5
"Djibouti" 0 76 "Y1" 0.0067218 1
"Djibouti" 0 76 "Y2" 0.0142015 2
"Djibouti" 0 76 "Y3" 0.0274673 3
"Djibouti" 0 76 "Y4" 0.0047748 4
"Djibouti" 0 76 "Y5" 0.003766 5
"Ethiopia" 0 77 "Y1" 0.0334184 1
"Ethiopia" 0 77 "Y2" 0.0218361 2
"Ethiopia" 0 77 "Y3" 0.00957 3
"Ethiopia" 0 77 "Y4" 0.0036476 4
"Ethiopia" 0 77 "Y5" 0.0038095 5
"Eritrea" 0 78 "Y3" 0.005405 3
"Eritrea" 0 78 "Y4" 0.0043391 4
"Eritrea" 0 78 "Y5" 0.0021483 5
"Angola" 0 79 "Y1" 0.0118569 1
"Angola" 0 79 "Y2" 0.019432 2
"Angola" 0 79 "Y3" 0.0167457 3
"Angola" 0 79 "Y4" 0.0050454 4
"Angola" 0 79 "Y5" 0.0030998 5
"Mozambique" 0 80 "Y1" 0.0101976 1
"Mozambique" 0 80 "Y2" 0.0111345 2
"Mozambique" 0 80 "Y3" 0.0087013 3
"Mozambique" 0 80 "Y4" 0.0035683 4
"Mozambique" 0 80 "Y5" 0.0020633 5
"Zimbabwe" 0 81 "Y1" 0.0265589 1
"Zimbabwe" 0 81 "Y2" 0.0114663 2
"Zimbabwe" 0 81 "Y3" 0.0079214 3
"Zimbabwe" 0 81 "Y4" 0.0042071 4
"Zimbabwe" 0 81 "Y5" 0.0024835 5
"Namibia" 0 82 "Y3" 0.0049955 3
"Namibia" 0 82 "Y4" 0.0022499 4
"Namibia" 0 82 "Y5" 0.0013259 5
