"Country" "Country_Code" "Indicator" "Indicator_Code" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015" "Classification"
"45" "Austria" "AUT" "Portfolio investment, net (BoP, current US$)" "BN.KLT.PTXL.CD" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 13479115762 -14462866181 -30156206552 -35840197558 11031136593 9941508528 -22275407237 -7460908147 -2768230692 16108164479 14687958122 1
"46" "Austria" "AUT" "Real interest rate (%)" "FR.INR.RINR" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.978067009 5.34755187 NA NA NA 4.134076076 3.421593348 2.367143339 3.531461811 3.962118845 4.911846603 3.071982408 NA NA NA NA NA NA 1
"47" "Belgium" "BEL" "Consumer price index (2010=100, December)" "GFDD.OE.01" 44.03 47.61 51.47 55.15 58.1 60.44 60.79 61.67 62.86 65.12 67.4 69.28 70.94 72.85 74.21 75.29 77.19 78.07 78.53 80.06 82.05 83.85 84.99 86.47 88.44 90.99 92.49 95.34 97.85 98.11 101.15 104.67 107.01 108.04 107.63 109.25 1
"48" "Belgium" "BEL" "Stock market total value traded to GDP (%)" "GFDD.DM.02" 0.73 0.59 0.83 1.28 1.56 2.1 3.21 4.61 5.03 4.92 4.22 3.3 3.17 3.94 4.88 5.19 6.47 9.31 16.72 20.62 17.39 15.91 15.12 13.73 16.31 23.59 29.68 39.96 42.93 31.35 23.36 20.64 19.83 21.13 20.95 NA 1
"49" "Belgium" "BEL" "Stock market turnover ratio (%)" "GFDD.EM.01" 6.43 7.63 13.42 14.24 13.11 13.38 14.75 18.54 16.32 13.08 9.42 9.97 11.1 15.31 15.69 15.39 20.26 23.72 31.06 24.13 22.5 21.88 25.14 25.22 32.24 37.61 39.29 56.7 64.54 59.01 41.47 40.06 39.3 33.7 28.45 NA 1
"50" "Belgium" "BEL" "Stock price volatility" "GFDD.SM.01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 16.69 21.77 19.12 14.25 17.75 26.06 15.76 8.93 10.01 12.87 20.86 33 23.28 19.08 20.27 15.49 14.21 17.53 1
"51" "Belgium" "BEL" "Consumer price index (2010 = 100)" "FP.CPI.TOTL" 42.60771195 45.85794519 49.85944101 53.68035446 57.08772429 59.86657001 60.64214223 61.58481397 62.30046086 64.23517063 66.45309738 68.58527955 70.2518426 72.18655237 73.90300319 74.98702268 76.53094498 77.77645498 78.51878658 79.39695722 81.41732366 83.43195042 84.80182009 86.1525575 87.9548162 90.40374522 92.02282269 93.69953709 97.90612552 97.85768113 100 103.5310582 106.4700183 107.6542147 108.020239 108.6231026 1
"52" "Belgium" "BEL" "Current account balance (% of GDP)" "BN.CAB.XOKA.GD.ZS" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.485562845 3.382434717 3.080610089 1.988462373 1.841112502 1.492367962 -0.826323176 -1.081662823 1.649746071 -1.041099811 -0.047142826 -0.302856221 -0.678378606 0.425261847 1
"53" "Belgium" "BEL" "GDP (current US$)" "NY.GDP.MKTP.CD" 1.27508e+11 1.05291e+11 92588982518 87650998817 83795759983 86730120728 1.20661e+11 1.50194e+11 1.63168e+11 1.651e+11 2.06431e+11 2.11638e+11 2.36039e+11 2.25925e+11 2.46195e+11 2.89568e+11 2.81358e+11 2.54814e+11 2.60602e+11 2.60202e+11 2.37905e+11 2.37842e+11 2.5886e+11 3.19003e+11 3.70885e+11 3.87366e+11 4.09813e+11 4.71822e+11 5.18626e+11 4.84553e+11 4.83549e+11 5.27008e+11 4.97884e+11 5.20117e+11 5.31751e+11 4.54991e+11 1
"54" "Belgium" "BEL" "GDP deflator (base year varies by country)" "NY.GDP.DEFL.ZS" 45.190471 47.51289835 51.10982277 53.97854015 56.91428042 59.54812705 61.21355742 62.24446152 63.59453776 66.64545885 68.51979791 70.49085521 72.90483186 75.81609085 77.40391105 78.34883436 78.69641179 79.40451845 80.80249787 81.26196901 82.90621512 84.64835449 86.07062511 87.76027881 89.49827803 91.40979634 93.52755856 95.45279137 97.31546182 98.10467578 100 102.0033029 104.1191187 105.3216323 106.0139523 106.935126 1
"55" "Belgium" "BEL" "GDP deflator: linked series (base year varies by country)" "NY.GDP.DEFL.ZS.AD" NA NA NA NA NA NA NA NA NA NA 68.51979791 70.49085521 72.90483186 75.81609085 77.40391105 78.34883436 78.69641179 79.40451845 80.80249787 81.26196901 82.90621512 84.64835449 86.07062511 87.76027881 89.49827803 91.40979634 93.52755856 95.45279137 97.31546182 98.10467578 100 102.0033029 104.1191187 105.3216323 106.0139523 106.935126 1
"56" "Belgium" "BEL" "GDP growth (annual %)" "NY.GDP.MKTP.KD.ZG" 4.444054087 -0.279283642 0.594986925 0.311842774 2.466382641 1.651792852 1.822762123 2.306659409 4.723208901 3.46916682 3.137402456 1.833074306 1.530654787 -0.961873089 3.226971478 2.384757216 1.593571255 3.71019693 1.975511603 3.563093603 3.633841364 0.811644083 1.780253197 0.774498227 3.634776681 2.094484986 2.499134928 3.397493226 0.747284182 -2.285112803 2.695144611 1.796629974 0.137051659 -0.062349215 1.646183423 1.476058965 1
"57" "Belgium" "BEL" "GDP per capita (current US$)" "NY.GDP.PCAP.CD" 12932.87283 10679.67399 9393.885569 8893.594536 8502.54663 8797.66799 12235.1957 15216.8854 16478.84717 16613.53235 20710.66393 21154.31183 23497.74962 22403.238 24338.16069 28565.94615 27701.85197 25027.77782 25541.71829 25444.13926 23207.40591 23121.56635 25052.33028 30743.95693 35589.71295 36967.28292 38852.36103 44403.83131 48424.58927 44880.56015 44380.23741 47702.77415 44740.5717 46510.38647 47439.39684 40356.875 1
"58" "Belgium" "BEL" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" 4.329008485 -0.276653818 0.622329223 0.319812335 2.467921398 1.621518928 1.786469948 2.219477959 4.39079503 3.093998963 2.830268115 1.455371754 1.119565704 -1.34799949 2.909318722 2.17055021 1.395258157 3.459530088 1.757997997 3.326010067 3.382815205 0.465496896 1.325025066 0.353496207 3.187226717 1.534450108 1.825318014 2.640994556 -0.045460663 -3.068171898 1.761154464 0.394608744 -0.587342188 -0.550034701 1.408233357 0.889760039 1
