Date Event Began,Date of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW), Number of Customers Affected 
4/16/2007,4/18/2007,Southern and Coastal Maine,NPCC,Heavy Snow Storm,-,"127,545"
4/16/2007,4/16/2007,New Hampshire,NPCC,Severe Thunderstorms,-,"102,568"
4/16/2007,4/16/2007,North and South Carolina,SERC,HIgh Winds,-,"33,000"
5/15/2007,5/17/2007,Southeastern Michigan,RFC,Severe Thunderstorms,500,"66,000"
5/16/2007,5/19/2007,All of Connecticut,NPCC,Severe Storm,-,"67,000"
6/5/2007,6/5/2007,Southwest Idaho and Eastern Oregon,WECC,Load Shedding,424,"80,000"
6/27/2007,6/27/2007,"Northern Manhattan NY (Yorkville) and SW Bronx (Motthaven, Melrose, High Bridge Sections)",NPCC,Lightning,460,"137,000"
6/29/2007,6/29/2007,Metropolitan Phoenix Area,WECC,Loss of Load,399,"98,700"
7/5/2007,7/8/2007,Southeastern Michigan,RFC,Severe Storm,-,"69,000"
7/10/2007,7/12/2007,Eastern New York,NPCC,Major Storms,650,"300,000"
7/18/2007,7/19/2007,Northern Counties of Illinois,RFC,Severe Weather,300,"135,000"
7/19/2007,7/19/2007,"North, East and Central Virginia",SERC,Major Storms,72,"107,000"
7/19/2007,7/22/2007,Southwestern Region of Service Territory,RFC,Major Storm,-,"60,000"
8/9/2007,8/9/2007,"Highland Area of Pittsburgh, Pennsylvania",RFC,Severe Thunderstorms,90,"55,000"
8/13/2007,8/14/2007,State of Missouri,SERC,Severe Thunderstorm,N/A,"63,000"
8/16/2007,8/17/2007,Virginia and Eastern North Carolina - Primarily in Central Virginia,SERC,Severe Weather,200,"93,300"
8/19/2007,8/20/2007,Central and Eastern Virginia,SERC,Severe Thunderstorms,100,"58,500"
8/23/2007,8/28/2007,Northern Illinois,RFC,Severe Storms,N/A,"629,590"
8/24/2007,8/28/2007,Southeastern Michigan,RFC,Severe Storm,N/A,"75,000"
8/29/2007,8/29/2007,Modesto California and the Surrounding Areas,WECC,Shed Load,180,"26,000"
9/13/2007,9/14/2007,"Between Galveston and Beaumont, Texas",SPP,Hurricane Humberto,N/A,"118,000"
9/17/2007,9/17/2007,"City of Crawfordsville, Indiana",RFC,Electrical System Separation,50,"9,600"
9/18/2007,9/18/2007,"Minnesota, Wisconsin, North Dakota, South Dakota and Michigan",MRO,Electrical System Separation/Load Shedding/ Implemented Emergency Alert/Severe Storms,16,"6,000"
10/18/2007,10/22/2007,Western Washington,WECC,High Winds,N/A,"160,000"
10/22/2007,10/22/2007,Southern California,WECC,Brush Fire/Load Shedding,700,"300,000"
10/22/2007,10/22/2007,Southern California,WECC,Brush Fire/Load Shedding/Implemented Emergency Alert,451,"90,323"
10/22/2007,10/22/2007,"San Diego County, California",WECC,Brush Fire/Load Shedding,199,"68,780"
10/26/2007,10/26/2007,"Riverside, California",WECC,Load Shedding,240,"104,000"
10/26/2007,10/26/2007,Southern Califonia,WECC,Brush Fire/Load Shedding,280,"20,345"
11/3/2007,11/4/2007,"Eastern Massachusetts, Rhode Island, Cape Cod",NPCC,Tropical Storm,100,"62,843"
12/10/2007,12/19/2007,"Tulsa, Oklahoma",SPP,Ice Storm,N/A,"256,663"
12/11/2007,12/20/2007,Eastern half of the State of Kansas,MRO,Ice Storm,500,"95,000"
12/23/2007,12/23/2007,The Entire ComEd Service Territory,RFC,Severe Storm,N/A,"237,000"
12/23/2007,12/25/2007,Lower 2/3 of Michigan Lower Peninsula,RFC,Winter Storm,50,"134,288"
1/4/2008,1/14/2008,Northern California,WECC,Winter Storm,500,"2,606,931"
1/4/2008,1/4/2008,Sacramento County,WECC,Severe Storm,300,"150,000"
1/29/2008,2/3/2008,"Arkansas, Mississippi, North Louisiana",SERC,Severe Thunderstorms,N/A,"110,000"
1/29/2008,2/1/2008,Southeastern Michigan,RFC,Wind/Ice Storm,N/A,"86,915"
1/29/2008,1/30/2008,"South Metropolitan Areas of Dayton, OHio",RFC,High Winds,380,"45,000"
1/30/2008,2/1/2008,"Western, New York",NPCC,High Winds,50,"54,316"
2/5/2008,2/6/2008,State of Kentucky,SERC,Severe Weather,N/A,"76,000"
2/6/2008,2/6/2008,Mid to West Tennessee,SERC,Severe Weather,N/A,"57,000"
2/10/2008,2/10/2008,"Virginia, West Virginia, Ohio, Pennsylvania",RFC,High Winds,N/A,"212,560"
2/10/2008,2/10/2008,Dominion Service Territory,SERC,High Winds,170,"114,618"
2/10/2008,2/12/2008,"Southwestern Pennsylvania, West Virginia, Virginia, Maryland",RFC,Severe Weather,412,"100,969"
2/10/2008,2/14/2008,Virginia and West Virginia Area of AEP,RFC,High Winds,N/A,"97,342"
2/10/2008,2/11/2008,"Greenboro, North Carolina and I-40 Corridor",SERC,High Winds,300,"50,718"
2/12/2008,2/15/2008,"Arkansas, Mississippi, Louisiana",SERC,Severe Weather,N/A,"54,000"
2/13/2008,2/14/2008,State of Maine,NPCC,Ice Storm,50,"50,462"
2/14/2008,2/14/2008,Utah,WECC,Load Shedding,"2,818","74,031"
2/15/2008,2/15/2008,"Antioch, California",WECC,Electrical System Separation,10,"10,008"
2/26/2008,2/26/2008,Primary Dade County Florida,FRCC,Transmission Equipment Failure,"3,200","584,384"
2/26/2008,2/26/2008,Southern Service Area/Alabama and Georgia,SERC,Thunderstorms,484,"145,380"
2/26/2008,2/26/2008,FRCC Region-West Coast Florida,FRCC,Shed Firm Load,120,"56,000"
2/26/2008,2/26/2008,Tampa Electric Service Territory,FRCC,Under Frequency/Load Shedding,318,"53,965"
2/26/2008,2/26/2008,Various Cities in Florida,FRCC,Under Frequency/Load Shedding,140,"47,661"
3/4/2008,3/4/2008,North and South Carolina,SERC,Thunderstorms,300,"55,267"
3/8/2008,3/10/2008,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RFC,Severe Weather,N/A,"168,449"
3/8/2008,3/8/2008,Virginia and Eastern Part of North Carolina,SERC,Windstorm,210,"141,130"
3/15/2008,3/16/2008,Parts of Alabama and Georgia,SERC,Major Storm,200,"157,744"
4/4/2008,4/4/2008,"Arkansas, North Louisiana, Mississippi",SERC,Severe Thunderstorms,N/A,"122,600"
4/9/2008,4/13/2008,"North, Central and East Texas",TRE,Severe Weather,N/A,"488,689"
5/11/2008,5/12/2008,Georgia,SERC,Severe Thunderstorms,100,"80,539"
5/11/2008,5/11/2008,"City of Crawfordsville, Indiana",RFC,Electric System Separation,47,"9,700"
5/12/2008,5/14/2008,"Cape May, Cumberland, Gloucester, Salem, Camden, Atlantic, Burliington  Counties, New Jersey",RFC,Severe Storm,55,"135,000"
5/27/2008,5/27/2008,South West Connecticut,NPCC,Lightning Storm,130,"56,400"
5/30/2008,5/30/2008,Northern and Western Counties of Illinois,RFC,Severe Storms,N/A,"109,000"
5/30/2008,6/4/2008,"Northeastern Marion County, Indiana",RFC,Severe Thunderstorms,N/A,"70,000"
6/3/2008,6/7/2008,"Maryland, West Virginia, Virginia",RFC,Severe Weather,634,"157,168"
6/4/2008,6/5/2008,Northern Virginia,SERC,Thunderstorms,850,"253,800"
6/4/2008,6/5/2008,"Montgomery, Prince Georges,  Maryland, Washington, D.C.",RFC,Lightning Storm,N/A,"249,408"
6/4/2008,6/7/2008,Entire BGE Service Territory,RFC,Severe Storms,N/A,"108,000"
6/6/2008,6/12/2008,Lower 2/3 of Michigan's Lower Peninsula,RFC,Lightning Storm,100,"358,000"
6/8/2008,6/16/2008,Southwestern Michigan (DECO Service Territory),RFC,Severe Storm,500,"150,000"
