Date Event Began,Date of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW), Number of Customers Affected 
4/25/2011,4/27/2011,"Arkansas, Louisiana, Mississippi",SPP,Severe Weather,UNK,"141,700"
4/26/2011,4/28/2011,"Alabama, Georgia, Mississippi, Tennessee",SERC,Severe Weather,UNK,"55,000"
4/26/2011,4/28/2011,Eastern Arkansas,SPP,Severe Weather,50,"13,000"
4/27/2011,4/29/2011,"Alabama, Georgia, Mississippi, Tennessee",SERC,Severe Weather,UNK,"612,000"
4/27/2011,5/2/2011,"Alabama, Florida, Georgia, Mississippi",SERC,Severe Weather,"1,422","426,640"
4/27/2011,4/28/2011,"Ohio, Tennessee, Virginia",SERC,Severe Weather,0,"69,000"
4/28/2011,4/30/2011,"Cleveland area, Ohio",RFC,Severe Weather,UNK,"86,000"
5/10/2011,5/11/2011,"Upper Peninsula, Michigan",RFC,Generation Inadequacy; Load Shed; Electrical System Separation (Islanding),585,"78,213"
5/10/2011,5/11/2011,"Kentucky, West Virginia",RFC,Severe Weather,UNK,"58,000"
5/11/2011,5/11/2011,"Charlotte, North Carolina",SERC,Severe Weather,300,"71,000"
5/22/2011,5/31/2011,"Joplin, Sarcoxie, and Wentworth, Missouri",SPP,Severe Weather,200,"20,000"
5/23/2011,5/25/2011,"Central, Indiana",RFC,Severe Weather,"1,024","215,387"
5/23/2011,5/25/2011,"St. Louis County, Missouri",SERC,Severe Weather,UNK,"70,000"
5/24/2011,5/25/2011,Eastern Virginia,SERC,Severe Weather,790,"175,000"
5/24/2011,5/26/2011,Central Oklahoma,SPP,Severe Weather,UNK,"54,000"
5/25/2011,5/28/2011,Central Indiana,RFC,Severe Weather,200,"141,000"
5/26/2011,5/28/2011,"Southern Balancing Area, Georgia",SERC,Severe Weather,729,"218,783"
5/26/2011,5/27/2011,Central Pennsylvania,RFC,Severe Weather,150,"120,001"
5/26/2011,5/26/2011,"Greenwood, Mississippi",SERC,Transmission Level Interruption,30,"10,000"
5/29/2011,5/31/2011,"Mid and Southern Lower Peninsula, Michigan",RFC,Severe Weather,250,"113,000"
6/2/2011,6/4/2011,"Greater Columbia, South Carolina",SERC,Severe Weather,0,"50,465"
6/4/2011,6/4/2011,"Midway, California",WECC,Vandalism,UNK,420
6/5/2011,6/6/2011,"Houston Metro-Area, Texas",TRE,Severe Thunderstorms,473,"78,000"
6/5/2011,6/5/2011,"Melones, California",WECC,Electrical System Separation (Islanding),10,"5,314"
6/6/2011,6/6/2011,"El Paso County, Texas; Dona Ana County, New Mexico",SPP,Load Shed/ Automatic undervoltage relay action,450,"162,000"
6/6/2011,6/8/2011,"Eastern, Arkansas",SPP,Public Appeal to Reduce Electricity Usage,UNK,"13,000"
6/7/2011,6/8/2011,Ohio,RFC,Severe Weather,UNK,"52,747"
6/9/2011,6/9/2011,Illinois,RFC,Severe Thunderstorms,UNK,"169,000"
6/9/2011,6/10/2011,"Western, Massachusetts; Connecticut",NPCC,Severe Thunderstorms,0,"100,000"
6/12/2011,6/12/2011,Virginia,RFC,Severe Thunderstorms,250,"56,000"
6/15/2011,6/16/2011,Georgia,SERC,Severe Thunderstorms,563,"169,000"
6/15/2011,6/16/2011,"Piedmont, North Carolina",SERC,Severe Thunderstorms,300,"70,135"
6/18/2011,6/19/2011,"Northern, Georgia",SERC,Severe Thunderstorms,312,"93,828"
6/18/2011,6/18/2011,North Carolina; South Carolina,SERC,Severe Thunderstorms,300,"70,000"
6/21/2011,6/23/2011,Illinois,RFC,Severe Thunderstorms,UNK,"300,000"
6/21/2011,6/22/2011,AEP Region,RFC,Severe Weather,UNK,"56,000"
6/22/2011,6/22/2011,"Knoxville, Tennessee",SERC,Severe Weather,UNK,"106,300"
6/22/2011,6/23/2011,Alabama; Georgia,SERC,Severe Thunderstorms,316,"75,101"
6/24/2011,6/25/2011,North/North Central Alabama; Georgia,SERC,Severe Thunderstorms,340,"102,275"
6/26/2011,6/27/2011,Alabama; Georgia,SERC,Severe Thunderstorms,300,"90,160"
6/27/2011,6/29/2011,Illinois; Missouri,SERC,Severe Thunderstorms,UNK,"80,000"
6/30/2011,6/30/2011,"Phoenix, Arizona",WECC,Major System Interruption/Load Shed,"5,299","160,000"
6/30/2011,7/1/2011,Illinois,RFC,Severe Weather,UNK,"121,000"
7/1/2011,7/3/2011,Southwest and South Central Minnesota,MRO,Severe Weather,UNK,"70,000"
7/2/2011,7/6/2011,"South East, Lower Peninsula, Michigan",RFC,Severe Weather,UNK,"182,000"
7/4/2011,7/4/2011,Virginia,SERC,Severe Weather,150,"51,580"
7/11/2011,7/11/2011,Illinois,RFC,Severe Weather,UNK,"500,000"
7/11/2011,7/12/2011,"Indiana, Michigan, Ohio",RFC,Severe Weather,UNK,"120,000"
7/11/2011,7/11/2011,Michigan,RFC,Severe Weather,254,"103,000"
7/11/2011,7/12/2011,Western and Southern Lower Peninsula Michigan,RFC,Severe Weather,UNK,"85,000"
7/18/2011,7/24/2011,Southeast Michigan,RFC,Severe Weather,N/A,"197,166"
7/22/2011,7/22/2011,Ohio,RFC,Load Shed,206,"23,000"
7/23/2011,7/24/2011,Illinois,RFC,Severe Weather,UNK,"169,000"
7/28/2011,7/29/2011,"Entire ComEd Territory, Indiana",RFC,Severe Weather,UNK,"201,000"
7/29/2011,8/1/2011,Central New Jersey,RFC,Severe Weather,N/A,"67,900"
8/2/2011,8/3/2011,"Northeast, Illinois",RFC,Severe Weather,UNK,"71,500"
8/8/2011,8/10/2011,Northern and Central Oklahoma,SPP,Severe Weather,N/A,"54,000"
8/8/2011,8/9/2011,Oklahoma,SPP,Electrical System Separation (Islanding),92,"14,500"
8/13/2011,8/14/2011,Kentucky,SERC,Severe Weather,UNK,"181,700"
8/20/2011,8/23/2011,Southeastern Michigan,RFC,Severe Weather,254,"65,000"
8/24/2011,8/25/2011,"Houston area, Texas",TRE,Severe Weather,485,"79,000"
8/24/2011,8/24/2011,"Arkansas, Louisiana, Texas",SPP,Severe Weather,N/A,"53,064"
8/25/2011,8/28/2011,"Cleveland area, Ohio",RFC,Severe Weather,N/A,"107,833"
8/26/2011,8/28/2011,Pennsylvania,RFC,Severe Weather,N/A,"200,717"
8/27/2011,8/29/2011,North Carolina; Virginia,SERC,Severe Weather,UNK,"1,000,000"
8/27/2011,9/4/2011,Maryland,RFC,Severe Weather,"1,114","760,113"
8/27/2011,8/29/2011,Eastern North Carolina,SERC,Severe Weather,UNK,"285,465"
8/27/2011,8/29/2011,Pennsylvania,RFC,Severe Weather,N/A,"264,000"
8/27/2011,8/29/2011,District of Columbia; Maryland,RFC,Severe Weather,N/A,"220,000"
8/27/2011,8/29/2011,Delaware; Maryland,RFC,Severe Weather,N/A,"165,000"
8/27/2011,8/29/2011,Southern New Jersey,RFC,Severe Weather,320,"140,000"
8/27/2011,8/29/2011,Eastern North Carolina,SERC,Severe Weather,200,"136,000"
8/27/2011,8/29/2011,Maryland,RFC,Severe Weather,UNK,"108,000"
8/27/2011,8/27/2011,Wilson County North Carolina,SERC,Distribution System Interruption,2,"1,200"
8/28/2011,8/30/2011,New Jersey,RFC,Severe Weather,500,"665,000"
8/28/2011,8/30/2011,Northern and Central New Jersey,RFC,Severe Weather,N/A,"650,000"
8/28/2011,8/30/2011,Eastern and Northeastern Pennsylvania,RFC,Severe Weather,110,"284,000"
8/28/2011,8/30/2011,"Mid-Hudson, New York",NPCC,Severe Weather,N/A,"180,000"
8/28/2011,8/29/2011,Southwest Connecticut,NPCC,Severe Weather,N/A,"158,000"
8/28/2011,8/30/2011,"Long Island, New York",NPCC,Severe Weather,UNK,"152,261"
8/28/2011,8/28/2011,New York,NPCC,Severe Weather,N/A,"116,000"
8/28/2011,8/30/2011,Eastern New York,NPCC,Severe Weather,N/A,"100,000"
8/28/2011,9/3/2011,New York,NPCC,Severe Weather,UNK,"99,700"
8/28/2011,9/3/2011,Borough's and Westshester County New York,NPCC,Severe Weather,N/A,"50,000"
8/28/2011,8/28/2011,Eastern Massachusetts,NPCC,Severe Weather,N/A,"50,000"
9/3/2011,9/8/2011,"Southeast Lower Peninsula, Michigan",RFC,Severe Weather,UNK,"105,000"
9/5/2011,9/7/2011,Alabama; Georgia,SERC,Severe Weather,177,"53,295"
9/8/2011,9/10/2011,Arizona; California,WECC,Transmission/Distribution Interruption; Load Shed; Generation Inadequacy,"7,000","2,000,000"
9/29/2011,9/30/2011,"Houston metro area, Texas",TRE,Severe Weather,N/A,"65,000"
10/17/2011,10/17/2011,Southwest Ohio,RFC,Vandalism,7,"2,000"
10/26/2011,10/27/2011,"Denver; Ft. Collins, Colorado",WECC,Severe Weather,UNK,"204,000"
10/29/2011,11/7/2011,Connecticut; Maine; Massachusetts; New Hampshire; Rhode Island,NPCC,Severe Weather,UNK,"1,418,100"
10/29/2011,11/7/2011,Northwest and Central New Jersey,RFC,Severe Weather,UNK,"379,000"
10/29/2011,11/7/2011,Pennsylvania,RFC,Severe Weather,UNK,"312,359"
10/29/2011,11/6/2011,New Jersey,RFC,Severe Weather,125,"197,000"
10/29/2011,11/4/2011,Southeast New York,NPCC,Severe Weather,UNK,"161,151"
10/29/2011,11/3/2011,"Harrisburg, Lehigh Valley, Lancaster Region Pennsylvania",RFC,Severe Weather,UNK,"146,721"
10/29/2011,11/2/2011,"Mid-Hudson Valley Region, New York",NPCC,Severe Weather,N/A,"145,000"
10/29/2011,10/31/2011,Southeast Pennsylvania,RFC,Severe Weather,UNK,"109,335"
10/29/2011,10/31/2011,New Jersey; New York,"NPCC, RFC",Severe Weather,N/A,"74,000"
10/29/2011,11/7/2011,Pennsylvania,RFC,Severe Weather,UNK,"50,000"
10/29/2011,11/2/2011,New York City area,NPCC,Severe Weather,UNK,"50,000"
11/30/2011,12/2/2011,"City of Los Angeles, California",WECC,Severe Weather,UNK,"150,000"
12/1/2011,12/2/2011,Northern California,WECC,Severe Weather,300,"100,000"
12/1/2011,12/7/2011,Southern California,WECC,Severe Weather,UNK,"91,690"
12/1/2011,12/2/2011,Wasatch Front Area Utah,WECC,Severe Weather,UNK,"60,000"
12/6/2011,12/6/2011,"Bismarck-Mandan, North Dakota",MRO,Public Appeal to Reduce Electricity Usage,155,"34,500"
12/7/2011,12/7/2011,Central Virginia,SERC,Severe Weather,240,"60,000"
12/20/2011,12/20/2011,"Sweet Home, Oregon",WECC,Suspected Physical Attack,12,"2,500"
1/9/2012,1/11/2012,Louisiana,SERC,Load Shed,150,1
1/19/2012,1/20/2012,"King, Pierce and Thurston Counties, Washington",WECC,Severe Weather - Winter Storm,"1,600","426,000"
2/19/2012,2/21/2012,"Kentucky, Virginia, West Virginia",SERC,Severe Weather - Winter Storm,UNK,"90,000"
2/28/2012,2/28/2012,"Sacramento, California",WECC,Electrical System Separation (Islanding),1,1
3/2/2012,3/4/2012,"Lower Peninsula, Michigan",RFC,Severe Weather - Winter Storm,50,"140,000"
3/2/2012,3/5/2012,"Southeastern, Michigan",RFC,Severe Weather - Winter Storm,371,"130,000"
3/20/2012,3/20/2012,"Houston, Texas",TRE,Severe Weather - Thunderstorms,N/A,"96,000"
4/16/2012,4/19/2012,"Southeast, Michigan",RFC,Severe Weather - High Winds,218,"111,393"
4/20/2012,4/21/2012,"Metropolitan Houston, Texas",TRE,Severe Weather - Thunderstorms,N/A,"120,377"
5/7/2012,5/7/2012,Eastern Ohio,RFC,Load Shed/Severe Weather  - Lightning Storm,420,1
5/29/2012,5/31/2012,"Oklahoma City Metro Area, Oklahoma",SPP,Severe Weather - Thunderstorms,UNK,"112,000"
6/8/2012,6/8/2012,"Denver Metro Area, Colorado",WECC,Load Shed,120,"30,379"
6/11/2012,6/12/2012,North/Central Alabama; North/Central Georgia,SERC,Severe Weather - Thunderstorms,368,"110,591"
6/12/2012,6/14/2012,"Houston, Texas",TRE,Severe Weather - Thunderstorms,920,"175,000"
6/19/2012,6/20/2012,"Minneapolis/St. Paul, Minnesota",MRO,Severe Weather - Thunderstorms,UNK,"68,200"
6/23/2012,6/23/2012,"North Shore, Massachusetts",NPCC,Load Shed,51,"29,250"
6/25/2012,6/26/2012,Central Virginia,SERC,Severe Weather - Wind & Rain,600,"190,000"
6/29/2012,7/2/2012,Eastern Indiana; Northern Kentucky; Greater Cincinnati area Ohio,RFC,Severe Weather - Thunderstorms,"2,946","4,645,572"
6/29/2012,7/2/2012,Indiana; Michigan; Ohio; West Virginia,RFC,Severe Weather - Thunderstorms,UNK,"1,355,919"
6/29/2012,7/4/2012,Virginia,SERC,Severe Weather - Thunderstorms,"5,000","880,000"
6/29/2012,7/5/2012,"Greater Baltimore area, Maryland",RFC,Severe Weather - Thunderstorms,"1,465","600,000"
6/29/2012,7/5/2012,"Montgomery and Prince Georges Counties, Maryland; District of Columbia",RFC,Severe Weather - Thunderstorms,"3,000","425,000"
6/29/2012,7/6/2012,West Virginia,RFC,Severe Weather - Thunderstorms,700,"265,000"
6/29/2012,7/4/2012,"Dayton, Ohio",RFC,Severe Weather - Thunderstorms,500,"175,000"
6/29/2012,7/7/2012,Maryland; West Virginia,RFC,Severe Weather - Thunderstorms,UNK,"145,000"
6/29/2012,6/30/2012,Northeast Illinois,RFC,Severe Weather - Thunderstorms,UNK,"109,000"
6/29/2012,6/29/2012,"Eastern, Arkansas",SERC,Public Appeal to Reduce Electricity Usage,45,"7,935"
6/30/2012,7/7/2012,Atlantic City Electric Service Territory New Jersey,RFC,Severe Weather - Thunderstorms,UNK,"205,000"
6/30/2012,7/3/2012,Delaware; Maryland,RFC,Severe Weather - Thunderstorms,0,"86,390"
6/30/2012,7/2/2012,"Calvert, Charles, St. Mary's, Prince Georges Counties Maryland",RFC,Severe Weather - Thunderstorms,354,"60,000"
7/1/2012,7/3/2012,Illinois,RFC,Severe Weather - Thunderstorms,Unknown,"320,000"
7/1/2012,7/1/2012,"Northern, Central and Eastern North Carolina",SERC,Severe Weather,Unknown,"69,106"
7/1/2012,7/1/2012,"Tarboro, North Carolina",SERC,Operational Failure; Storm Damage,48,"6,100"
7/5/2012,7/6/2012,Lower Peninsula Michigan,RFC,Severe Weather - Thunderstorms,Unknown,"111,000"
7/5/2012,7/6/2012,Northeast Tennessee,SERC,Severe Weather - Wind & Storms,N/A,"50,001"
7/7/2012,7/9/2012,Central and Northern New Jersey,RFC,Severe Weather - Thunderstorms,N/A,"95,400"
7/7/2012,7/9/2012,"Lower Valley, Central, Susquehanna Regions Pennsylvania",RFC,Severe Weather - Thunderstorms,N/A,"64,500"
7/18/2012,7/19/2012,Northern Illinois,RFC,Severe Weather - Thunderstorms,Unknown,"181,000"
7/18/2012,7/19/2012,"Southeast Ohio, Northern Kentucky, Southern Indiana",RFC,Severe Weather - Thunderstorms,480,"103,000"
7/18/2012,7/18/2012,Eastern Ohio,RFC,Severe Weather - Thunderstorms,Unknown,"67,000"
7/21/2012,7/21/2012,"City of Lubbock, Texas",SPP,Severe Weather; Equipment Failure,220,"70,000"
7/24/2012,7/24/2012,Northern Illinois,RFC,Severe Weather - Thunderstorms,Unknown,"330,000"
7/24/2012,7/24/2012,Northern Indiana,RFC,Severe Weather - Thunderstorms,N/A,"82,621"
7/26/2012,7/27/2012,Western Pennsylvania,RFC,Severe Weather - Thunderstorms,N/A,"65,112"
7/26/2012,7/28/2012,North/Central Pennsylvania,RFC,Severe Weather - Thunderstorms,N/A,"65,000"
7/26/2012,7/27/2012,Eastern Ohio,RFC,Severe Weather - Thunderstorms,Unknown,"57,054"
7/27/2012,7/28/2012,Central Indiana,RFC,Severe Weather - Thunderstorms,Unknown,"52,702"
8/4/2012,8/5/2012,Northeast Illinois,RFC,Severe Weather - Thunderstorms,Unknown,"325,000"
8/4/2012,8/4/2012,Northern Indiana,RFC,Severe Weather - Thunderstorms,N/A,"61,413"
8/4/2012,8/4/2012,"Temblor Substation in McKittrick, California",WECC,Electrical System Separation (Islanding),5,127
8/19/2012,8/19/2012,"El Paso, Texas",WECC,Suspected Physical Attack,12,"3,314"
8/26/2012,8/27/2012,Florida,FRCC,Severe Weather - TS Isaac,N/A,"440,000"
8/28/2012,9/4/2012,"Arkansas, Louisiana, Mississippi",SERC,Severe Weather - Hurricane Isaac,Unknown,"770,000"
8/29/2012,8/31/2012,Louisiana,SPP,Severe Weather - Hurricane Isaac,Unknown,"95,000"
8/29/2012,8/30/2012,Louisiana,SERC,Severe Weather - Hurricane Isaac,150,"68,018"
8/29/2012,8/31/2012,Louisiana,SERC,Severe Weather - Hurricane Isaac,300,"50,000"
9/7/2012,9/8/2012,Arkansas,SERC,Severe Weather - Thunderstorms,UNK,"64,951"
9/8/2012,9/9/2012,Virginia,SERC,Severe Weather - Thunderstorms,475,"119,000"
9/8/2012,9/8/2012,"Prince George's County, Montgomery County Maryland; D.C.",RFC,Severe Weather - Thunderstorms,UNK,"65,000"
10/14/2012,10/14/2012,Northern California,WECC,Electrical System Separation (Islanding),3,"2,035"
10/23/2012,10/23/2012,"Crawfordsville, Indiana",RFC,Transmission System Interruption,49,"9,800"
10/29/2012,11/6/2012,Greater Philadelphia Pennsylvania,RFC,Severe Weather - Hurricane Sandy,Unknown,"850,000"
10/29/2012,11/8/2012,"Greater New York City, New York",NPCC,Severe Weather - Hurricane Sandy,0,"818,000"
10/29/2012,11/4/2012,"Connecticut, Western Massachusetts",NPCC,Severe Weather - Hurricane Sandy,0,"649,075"
10/29/2012,11/12/2012,"Long Island, New York",NPCC,Severe Weather - Hurricane Sandy,0,"632,816"
10/29/2012,11/4/2012,Central Pennsylvania,RFC,Severe Weather - Hurricane Sandy,Unknown,"400,000"
10/29/2012,11/4/2012,New York,NPCC,Severe Weather - Hurricane Sandy,Unknown,"371,000"
10/29/2012,11/5/2012,Greater Cleveland Ohio,RFC,Severe Weather - Hurricane Sandy,0,"346,000"
10/29/2012,11/7/2012,Eastern Pennsylvania,RFC,Severe Weather - Hurricane Sandy,0,"270,000"
10/29/2012,10/31/2012,Greater Baltimore Maryland,RFC,Severe Weather - Hurricane Sandy,0,"219,000"
10/29/2012,11/4/2012,New Jersey,RFC,Severe Weather - Hurricane Sandy,Unknown,"217,000"
10/29/2012,11/9/2012,West Virginia,RFC,Severe Weather - Hurricane Sandy,0,"208,000"
10/29/2012,11/3/2012,Southeast New York; New Jersey,"NPCC, RFC",Severe Weather - Hurricane Sandy,Unknown,"200,000"
10/29/2012,11/2/2012,Indiana; Kentucky; Michigan; Ohio,RFC,Severe Weather - Nor'easter,Unknown,"173,273"
10/29/2012,10/30/2012,Virginia,RFC,Severe Weather - Hurricane Sandy,520,"156,000"
10/29/2012,11/8/2012,Maryland; West Virginia,RFC,Severe Weather - Hurricane Sandy,Unknown,"150,000"
10/29/2012,11/2/2012,"Delaware, Maryland",RFC,Severe Weather - Hurricane Sandy,Unknown,"70,000"
10/29/2012,11/6/2012,New Jersey,NPCC,Severe Weather - Hurricane Sandy,Unknown,"50,000"
10/29/2012,11/1/2012,Eastern Massachusetts,NPCC,Severe Weather - Hurricane Sandy,Unknown,"50,000"
10/29/2012,10/31/2012,New Hampshire,NPCC,Severe Weather - Hurricane Sandy,N/A,"50,000"
10/29/2012,10/30/2012,"Boston, Southeast Massachusetts",NPCC,Severe Weather - Hurricane Sandy,Unknown,"50,000"
10/29/2012,10/30/2012,Southeast and Seacoast Maine,NPCC,Severe Weather - Hurricane Sandy,Unknown,"50,000"
10/30/2012,11/1/2012,Greater Detroit Michigan,RFC,Severe Weather - Nor'easter,Unknown,"133,777"
12/2/2012,12/4/2012,Northern California,WECC,Severe Weather - Winter Storm,250,"125,000"
12/25/2012,12/26/2012,"Houston, Texas",TRE,"Severe Weather - Cold Front, High Winds",294,"262,000"
12/25/2012,12/28/2012,Arkansas; Louisiana; Mississippi; Texas,SPP,Severe Weather - Winter Storm,Unknown,"242,509"
12/26/2012,12/26/2012,"Stantonsburg, North Carolina",SERC,Severe Weather - Thunderstorm,3,"1,200"
12/31/2012,12/31/2012,North Carolina,SERC,Transmission Interruption,40,"12,000"
1/17/2013,1/20/2013,"Southwest Virginia, Southern West Virginia",RFC,Severe Weather - Winter Storm,Unknown,"127,000"
1/17/2013,1/19/2013,Northeast Tennessee,SERC,Severe Weather - Winter Storm,Unknown,"80,000"
1/17/2013,1/17/2013,"Elizabeth City, North Carolina",SERC,Distribution Interruption,40,"12,000"
1/20/2013,1/23/2013,Southeastern Michigan,RFC,Severe Weather - Wind Storm,Unknown,"146,500"
1/31/2013,1/31/2013,Central and Eastern Virginia,SERC,Severe Weather - Wind Storm,188,"119,000"
1/31/2013,1/31/2013,Connecticut,NPCC,Severe Weather - Wind Storm,75,"75,000"
2/8/2013,2/8/2013,District of Columbia; Prince George's County Maryland,RFC,Equipment Trip & Failure,140,"52,000"
2/8/2013,2/12/2013,Boston area and Southeast Massachusetts,NPCC,Severe Weather - Winter Storm Nemo,Unknown,"50,000"
2/8/2013,2/11/2013,Central and eastern Massachusetts; Rhode Island,NPCC,Severe Weather - Winter Storm Nemo,N/A,"50,000"
2/13/2013,2/15/2013,Eastern Massachusetts,NPCC,Fuel Supply Emergency - Petroleum,1,1
2/13/2013,2/13/2013,"Fort Washington, Maryland",RFC,Vandalism,1,1
2/16/2013,2/16/2013,Prince George's County Maryland,RFC,Vandalism,1,1
2/19/2013,2/20/2013,"Stockton, California",WECC,Electrical System Separation (Islanding),"13,850","6,810"
2/26/2013,3/1/2013,Northern Missouri,SERC,Severe Weather - Winter Storm Nemo,Unknown,"56,444"
3/3/2013,3/3/2013,"Merced County, California",WECC,Transmission System Interruption,300,"58,850"
3/6/2013,3/7/2013,Northwest Virginia,SERC,Severe Weather - Winter Storm,400,"233,000"
3/18/2013,3/20/2013,North/Central Alabama; Georgia,SERC,Severe Weather - Thunderstorms,800,"240,000"
4/18/2013,4/21/2013,"Southeast Michigan, Michigan",RFC,Severe Weather - Storms and Wind,Unknown,"99,188"
4/23/2013,4/23/2013,"South of Humboldt, California",WECC,Electrical System Separation (Islanding),80,1
5/1/2013,5/1/2013,Northeast Colorado,WECC,Electrical System Separation (Islanding),123,"35,230"
5/20/2013,5/22/2013,"Moore, Oklahoma",SPP,Severe Weather - Tornados,Unknown,"41,306"
5/20/2013,5/20/2013,Gonzales Area Louisiana,SERC,Generator Trip; Load Shed 100+ MW,103,"21,800"
5/29/2013,5/31/2013,Central and Eastern New York,NPCC,Severe Weather - Thunderstorms,Unknown,"61,795"
5/31/2013,6/4/2013,"El Reno, S. Oklahoma City, Oklahoma",SPP,Severe Weather - Tornados,Unknown,"127,000"
5/31/2013,6/1/2013,St. Louis Metro Area Missouri,SERC,Severe Weather - Thunderstorms,Unknown,"100,000"
5/31/2013,6/1/2013,"Southeast Kansas, Northeast Oklahoma",MRO,Transmission System Interruption,102,"6,300"
6/13/2013,6/14/2013,"Richmond Metro area, Virginia",SERC,Severe Weather - Thunderstorms,900,"283,000"
6/13/2013,6/14/2013,Western Piedmont North Carolina,SERC,Severe Weather - Thunderstorms,"1,000","175,000"
6/13/2013,6/14/2013,Southern Company Territory,SERC,Severe Weather - Thunderstorms,550,"165,798"
6/13/2013,6/14/2013,Ohio; Virginia; West Virginia,RFC,Severe Weather - Thunderstorms,Unknown,"90,247"
6/13/2013,6/14/2013,Central and Eastern North Carolina,SERC,Severe Weather - Thunderstorms,Unknown,"53,000"
6/13/2013,6/13/2013,District of Columbia; Maryland,RFC,Loss of 300+ MW Load; Severe Weather - Thunderstorms,700,"40,000"
6/17/2013,6/17/2013,Hillsborough County Florida,FRCC,Load Shed of 100+ MW Under Emergency Operational Policy,180,37
6/21/2013,6/24/2013,Minneapolis/St. Paul area Minnesota,MRO,Severe Weather - Hailstorm,Unknown,"400,000"
6/21/2013,6/26/2013,Minnesota,MRO,Severe Weather - Hailstorm,Unknown,"193,000"
6/21/2013,6/21/2013,Pahrump Nevada,WECC,Physical Attack; Vandalism & Sabotage,Unknown,"1,100"
6/23/2013,6/24/2013,Central Coast California,WECC,Severe Weather - Fog,Unknown,"148,000"
6/24/2013,6/25/2013,Illinois,RFC,Severe Weather - Thunderstorms,Unknown,"283,451"
6/24/2013,6/26/2013,Indiana,RFC,Severe Weather - Thunderstorms,Unknown,"86,615"
6/27/2013,6/28/2013,South Eastern Michigan,RFC,Severe Weather - Thunderstorms,Unknown,"138,000"
6/28/2013,6/28/2013,"Los Angeles and Orange Counties, California",WECC,Equipment Failure,240,"65,255"
7/5/2013,7/5/2013,California,WECC,Physical Attack; Vandalism,Unknown,"2,500"
7/10/2013,7/11/2013,AEP Ohio Power Footprint,RFC,Severe Weather - Thunderstorms,N/A,"122,314"
7/18/2013,7/19/2013,Southern Orange County California,WECC,Equipment Failure,200,"123,000"
7/19/2013,7/20/2013,Michigan,RFC,Severe Weather - Thunderstorms,Unknown,"156,627"
7/19/2013,7/21/2013,New York,NPCC,Severe Weather - Thunderstorms,Unknown,"74,300"
7/23/2013,7/25/2013,"Tulsa, Oklahoma",SPP,Severe Weather - Thunderstorms,500,"92,748"
8/1/2013,8/2/2013,Daytona Beach Florida,FRCC,Loss of 300+ MW Load,297,"104,498"
8/7/2013,8/7/2013,Eastern Central Wisconsin,MRO,Severe Weather - Thunderstorms,220,"51,160"
8/16/2013,8/17/2013,Houston Service Area Texas,TRE,Severe Weather - Thunderstorms,Unknown,"219,681"
8/19/2013,8/20/2013,Central California,WECC,Severe Weather - Lightning Strike,685,"124,000"
8/29/2013,8/29/2013,"Ashland, Wisconsin",MRO,Electrical System Separation (Islanding); Severe Weather,15,"7,000"
8/30/2013,8/31/2013,Entire ComEd territory Illinois,RFC,Severe Weather - Thunderstorms,Unknown,"157,000"
9/11/2013,9/15/2013,Southeastern Michigan,RFC,Severe Weather - Thunderstorms,400,"75,000"
10/6/2013,10/6/2013,"Jacksonville, Arkansas",SPP,Physical Attack,Unknown,"9,200"
10/21/2013,10/21/2013,Location Unknown,WECC,Electrical System Separation (Islanding),115,433
10/27/2013,10/27/2013,"Houston, Texas",TRE,Severe Weather - Hail Storm,Unknown,"171,117"
11/2/2013,11/4/2013,"King, Whatcom, and Skagit, Washington",WECC,Severe Weather - Heavy Winds,Unknown,"105,000"
11/12/2013,11/12/2013,"Valle, California",WECC,Electrical System Separation (Islanding),55,"48,400"
11/17/2013,11/20/2013,Michigan,RFC,Severe Weather - Ice and Snow Storm,Unknown,"325,325"
11/17/2013,11/20/2013,"Central Missouri, Central Illinois",SERC,Severe Weather - Tornadoes,Unknown,"200,000"
11/17/2013,11/17/2013,Entire ComEd Territory Illinois,RFC,Severe Weather - Thunderstorms,Unknown,"190,000"
11/17/2013,11/18/2013,"Indiana, Michigan",RFC,Severe Weather - Thunderstorms,Unknown,"77,346"
11/17/2013,11/20/2013,North Central Indiana,RFC,Severe Weather - Thunderstorms,Unknown,"75,065"
11/17/2013,11/20/2013,Central Indiana,RFC,Severe Weather - Thunderstorms,Unknown,"61,705"
11/17/2013,11/20/2013,Central Indiana,RFC,Severe Weather - Tornadoes,535,"61,705"
11/17/2013,11/21/2013,Entire Lower Peninsula Michigan,RFC,Severe Weather - Thunderstorms,Unknown,"50,000"
11/17/2013,11/17/2013,"Rochelle, Indiana",RFC,System-wide voltage reductions of 3 percent or more,38,"7,500"
11/21/2013,11/22/2013,Northern California,WECC,Severe Weather - Wind Storm,150,"89,500"
12/6/2013,12/11/2013,"Greater Houston, Texas",TRE,Severe Weather - Ice/Snow,Unknown,"881,000"
12/9/2013,12/9/2013,Virginia Service Territory,SERC,Severe Weather - Ice/Snow,293,"88,000"
12/22/2013,12/25/2013,Michigan,RFC,Severe Weather - Ice/Snow,350,"140,735"
12/22/2013,12/24/2013,Frontier/Genesee/Northern New York,NPCC,Severe Weather - Ice/Snow,Unknown,"59,000"
12/22/2013,12/28/2013,"Southern Lower Penninsula, Michigan",RFC,Severe Weather - Ice/Snow,Unknown,"50,000"
